ident;type_client;tranche_age;statut_matrimonial;anciennete;tranche_epargne;profession;cumul_credit;salaire;credit_demande
I001;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;765;700
I002;bon client;moins de 23 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;465;465
I003;mauvais client;de 23 a 40 ans;veuf;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;680;555
I004;bon client;de 23 a 40 ans;divorce;anc. de 1  a 4 ans;moins de 10KF epargn;employe;de 40 a 100  debits;560;640
I005;bon client;moins de 23 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;moins de 40  debits;575;570
I006;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;525;475
I007;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;cadre;moins de 40  debits;925;715
I008;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;cadre;moins de 40  debits;925;735
I009;bon client;de 40 a 50 ans;celibataire;anc. de 1  a 4 ans;pas d'epargne;employe;plus de 100  debits;565;360
I010;bon client;plus de 50 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;635;605
I011;bon client;plus de 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;795;710
I012;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;moins de 10KF epargn;cadre;moins de 40  debits;595;555
I013;bon client;de 23 a 40 ans;celibataire;anc. de 4  a 6 ans;pas d'epargne;autre;de 40 a 100  debits;430;430
I014;bon client;de 23 a 40 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;775;620
I015;bon client;de 40 a 50 ans;divorce;anc. de 4  a 6 ans;moins de 10KF epargn;cadre;plus de 100  debits;715;530
I016;mauvais client;de 40 a 50 ans;divorce;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;650;505
I017;bon client;plus de 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;autre;moins de 40  debits;550;730
I018;mauvais client;plus de 50 ans;veuf;anc. plus   12 ans;pas d'epargne;autre;de 40 a 100  debits;630;520
I019;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;moins de 40  debits;785;630
I020;bon client;plus de 50 ans;marie;anc. de 4  a 6 ans;moins de 10KF epargn;employe;moins de 40  debits;665;790
I021;bon client;de 40 a 50 ans;marie;anc. de 1  a 4 ans;moins de 10KF epargn;employe;de 40 a 100  debits;570;545
I022;bon client;de 23 a 40 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;535;480
I023;bon client;de 23 a 40 ans;celibataire;anc. de 6  a 12 ans;pas d'epargne;employe;plus de 100  debits;590;295
I024;bon client;de 40 a 50 ans;marie;anc. de 6  a 12 ans;de 10 a 100KF epargn;cadre;plus de 100  debits;820;780
I025;mauvais client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;plus de 100  debits;325;345
I026;bon client;de 40 a 50 ans;marie;anc. 1 an  ou moins;pas d'epargne;employe;moins de 40  debits;575;500
I027;mauvais client;de 40 a 50 ans;celibataire;anc. plus   12 ans;pas d'epargne;employe;plus de 100  debits;655;500
I028;bon client;de 23 a 40 ans;marie;anc. de 4  a 6 ans;pas d'epargne;employe;de 40 a 100  debits;450;395
I029;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;moins de 10KF epargn;employe;plus de 100  debits;730;530
I030;bon client;plus de 50 ans;marie;anc. de 6  a 12 ans;pas d'epargne;employe;de 40 a 100  debits;880;690
I031;bon client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;autre;de 40 a 100  debits;510;500
I032;mauvais client;plus de 50 ans;divorce;anc. plus   12 ans;moins de 10KF epargn;cadre;plus de 100  debits;765;565
I033;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;de 40 a 100  debits;795;690
I034;bon client;moins de 23 ans;marie;anc. de 1  a 4 ans;de 10 a 100KF epargn;autre;de 40 a 100  debits;280;650
I035;bon client;de 23 a 40 ans;marie;anc. plus   12 ans;plus de 100KF epargn;employe;moins de 40  debits;780;960
I036;bon client;de 40 a 50 ans;celibataire;anc. 1 an  ou moins;plus de 100KF epargn;employe;plus de 100  debits;680;715
I037;bon client;de 40 a 50 ans;divorce;anc. plus   12 ans;pas d'epargne;cadre;moins de 40  debits;820;710
I038;bon client;moins de 23 ans;marie;anc. de 4  a 6 ans;de 10 a 100KF epargn;cadre;de 40 a 100  debits;705;650
I039;bon client;de 23 a 40 ans;celibataire;anc. 1 an  ou moins;pas d'epargne;employe;de 40 a 100  debits;550;415
I040;bon client;de 23 a 40 ans;celibataire;anc. plus   12 ans;moins de 10KF epargn;cadre;moins de 40  debits;680;815
I041;bon client;de 40 a 50 ans;marie;anc. plus   12 ans;pas d'epargne;employe;moins de 40  debits;675;735
