type_client,salaire,credit_demande,tranche_age_de 23 a     40 ans,tranche_age_de 40 a     50 ans,tranche_age_moins de    23 ans,tranche_age_plus de     50 ans,statut_matrimonial_celibataire,statut_matrimonial_divorce,statut_matrimonial_marie,statut_matrimonial_veuf,anciennete_anc. 1 an  ou moins,anciennete_anc. de 1  a 4 ans,anciennete_anc. de 4  a 6 ans,anciennete_anc. de 6  a 12 ans,anciennete_anc. plus   12 ans,tranche_epargne_de 10 a 100KF epargn,tranche_epargne_moins de 10KF epargn,tranche_epargne_pas d'epargne,tranche_epargne_plus de 100KF epargn,profession_autre,profession_cadre,profession_employe,cumul_credit_de 40 a 100  debits,cumul_credit_moins de 40  debits,cumul_credit_plus de 100  debits
1,765,700,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1,465,465,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,680,555,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1,560,640,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
1,575,570,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,525,475,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,925,715,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,925,735,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,565,360,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,635,605,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
1,795,710,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1,595,555,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,430,430,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,775,620,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
1,715,530,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,650,505,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
